Date & time of file creation	10/10/2021 8:57 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\SMR_21_BC_10.10.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\SMR_21_BC_10.10.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	10.7	306.5098039215686	0																																																											
Chamber 2	10	307.4761904761905																																																												
Chamber 3	11.57	305.54455445544556																																																												
Chamber 4	13.7	303.0204081632653																																																												
Chamber 5	13.26	303.46938775510205	0																																																											
Chamber 6	16.34	300.9803921568627																																																												
Chamber 7	16.760	300.5686274509804																																																												
Chamber 8	10.62	306.48514851485146																																																												
																																																														
																																																														
